9.39,40.11,1029.14,77.29,473.05
31.07,73.5,1010.58,43.66,432.06
12.82,38.62,1018.71,83.8,467.41
32.57,78.92,1011.6,66.47,430.12
8.11,42.18,1014.82,93.09,473.62
13.92,39.39,1012.94,80.52,471.81
23.04,59.43,1010.23,68.99,442.99
27.31,64.44,1014.65,57.27,442.77
5.91,39.33,1010.18,95.53,491.49
25.26,61.08,1013.68,71.72,447.46
27.97,58.84,1002.25,57.88,446.11
26.08,52.3,1007.03,63.34,442.44
29.01,65.71,1013.61,48.07,446.22
12.18,40.1,1016.67,91.87,471.49
13.76,45.87,1008.89,87.27,463.5
25.5,58.79,1016.02,64.4,440.01
28.26,65.34,1014.56,43.4,441.03
21.39,62.96,1019.49,72.24,452.68
7.26,40.69,1020.43,90.22,474.91
10.54,34.03,1018.71,74,478.77
27.71,74.34,998.14,71.85,434.2
